,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
168,US Embassy in South Jakarta,2025-03-06,35.833333333333336,-6.2367,106.7932,IQAir,32.28238,35.32494654973349,32.26980742209512
169,US Embassy in South Jakarta,2025-03-06,35.833333333333336,-6.2367,106.7932,IQAir,32.207,35.04894006941054,32.20373635535953
170,"Widya Chandra, JK",2025-03-06,33.904999999999994,-6.2302,106.8147,IQAir,32.242443,34.04508746994866,33.37872250858057
171,"Widya Chandra, JK",2025-03-06,33.904999999999994,-6.2302,106.8147,IQAir,31.940962,33.92945783191257,33.42241960162709
172,Wisma Barito Pacific,2025-03-06,29.884210526315787,-6.197,106.7984,IQAir,33.10226,35.0650525432163,33.47920924039003
173,Wisma Barito Pacific,2025-03-06,29.884210526315787,-6.197,106.7984,IQAir,33.139156,34.90115986400181,33.549794372923856
174,Wisma Matahari Power,2025-03-06,33.31578947368421,-6.2087,106.7839,IQAir,37.482704,37.68041782591077,37.32213080645994
175,Wisma Matahari Power,2025-03-06,33.31578947368421,-6.2087,106.7839,IQAir,37.592182,37.91553469128078,37.2441468998898
176,bekasi,2025-03-06,45.027692307692305,-6.2374,106.993,KLHK,34.36099,35.13643521838719,32.64561062601774
177,bekasi,2025-03-06,45.027692307692305,-6.2374,106.993,KLHK,34.28275,35.41902632289464,32.77328896313253
178,dki1,2025-03-06,36.565714285714286,-6.1948,106.823,KLHK,35.005337,35.07018285539415,35.4143132921226
179,dki1,2025-03-06,36.565714285714286,-6.1948,106.823,KLHK,35.32254,35.119167438083224,35.56269811413652
180,dki2,2025-03-06,38.768095238095235,-6.1588,106.904,KLHK,36.34273,37.55986312256,37.4939602611822
181,dki2,2025-03-06,38.768095238095235,-6.1588,106.904,KLHK,36.34273,37.55986312256,37.4939602611822
182,dki2,2025-03-06,38.768095238095235,-6.1588,106.904,KLHK,36.35083,37.62903446209696,37.38326205097758
183,dki2,2025-03-06,38.768095238095235,-6.1588,106.904,KLHK,36.35083,37.62903446209696,37.38326205097758
184,dki3,2025-03-06,52.72714285714286,-6.3578,106.803,KLHK,38.38697,39.13964064068264,37.28434218478025
185,dki3,2025-03-06,52.72714285714286,-6.3578,106.803,KLHK,38.353416,38.692894345389476,37.283476598153136
186,dki4,2025-03-06,17.85619047619047,-6.2904,106.905,KLHK,34.60839,32.89499537256029,33.6616637428642
187,dki4,2025-03-06,17.85619047619047,-6.2904,106.905,KLHK,34.587406,32.877655490239455,33.65182677629519
188,dki5,2025-03-06,43.87428571428571,-6.2074,106.75,KLHK,35.31723,36.222939777374265,38.05113034588274
189,dki5,2025-03-06,43.87428571428571,-6.2074,106.75,KLHK,35.296246,36.128103755315145,38.05467420077092
190,kabupaten_bekasi,2025-03-06,34.48458333333334,-6.3638,107.172,KLHK,29.567265,33.38497359275818,32.29356909651684
191,kabupaten_bekasi,2025-03-06,34.48458333333334,-6.3638,107.172,KLHK,29.534683,33.36176394250658,32.30917523087267
192,kabupaten_bogor,2025-03-06,35.91,-6.4814,106.829,KLHK,34.988655,34.58123122851053,32.34316197074618
193,kabupaten_bogor,2025-03-06,35.91,-6.4814,106.829,KLHK,35.007004,34.71618326293097,32.697793446044
194,tangerang,2025-03-06,51.14157894736842,-6.1975,106.57,KLHK,33.491783,29.747994670338098,29.192509357826097
195,tangerang,2025-03-06,51.14157894736842,-6.1975,106.57,KLHK,33.46802,29.967480661074315,29.27923973471561
196,tangerang_benteng_betawi,2025-03-06,25.16869565217391,-6.1757,106.645,KLHK,27.472477,25.491024652057224,26.25624203505676
197,tangerang_benteng_betawi,2025-03-06,25.16869565217391,-6.1757,106.645,KLHK,27.448717,25.725299889246624,26.11366900463548
198,tangerang_kali_pasir,2025-03-06,12.774583333333332,-6.1874,106.633,KLHK,26.798159,25.485262579388095,26.063284170410114
199,tangerang_kali_pasir,2025-03-06,12.774583333333332,-6.1874,106.633,KLHK,26.774399,25.904751277499734,26.031270554901607
