,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
227,Layar Permai PIK,2025-10-05,52.833333333333336,-6.1077,106.753,IQAir,54.08258,53.08305256313747,54.473472267706654
228,Layar Permai PIK,2025-10-05,52.833333333333336,-6.1077,106.753,IQAir,54.06623,53.03834157096015,54.506884230058304
234,"Pulo Mas, Kayu Putih",2025-10-05,49.89473684210526,-6.1834,106.8874,IQAir,38.962643,38.96136057930667,38.96260815563125
235,"Pulo Mas, Kayu Putih 2",2025-10-05,45.35,-6.1841,106.8873,IQAir,38.962643,38.96136057930667,38.96260815563125
240,Puretrex Indonesia - Tegal Alur / Kalideres,2025-10-05,41.125,-6.1175,106.7274,IQAir,50.19766,44.59178964183869,43.48306403910736
241,Puretrex Indonesia - Tegal Alur / Kalideres,2025-10-05,41.125,-6.1175,106.7274,IQAir,50.19766,44.44351227640564,43.48306403910736
242,Puri Indah,2025-10-05,58.958333333333336,-6.1869,106.7369,IQAir,55.625164,57.67449203336423,57.98886582581995
243,Puri Indah,2025-10-05,58.958333333333336,-6.1869,106.7369,IQAir,55.594936,57.483131951361855,58.0094911051598
247,Rembang Bukit,2025-10-05,49.791666666666664,-6.2805,106.7789,IQAir,38.962643,38.96136057930667,38.96260815563125
248,RespoKare Mask - Wisma 76,2025-10-05,30.7625,-6.1909,106.798,IQAir,41.047745,40.19750646778184,37.63763395641096
249,RespoKare Mask - Wisma 76,2025-10-05,30.7625,-6.1909,106.798,IQAir,41.047745,40.19750646778184,37.63763395641096
250,RespoKare Mask - Wisma 76,2025-10-05,30.7625,-6.1909,106.798,IQAir,40.744667,40.049996281973215,38.319064117389885
251,RespoKare Mask - Wisma 76,2025-10-05,30.7625,-6.1909,106.798,IQAir,40.744667,40.049996281973215,38.319064117389885
256,Semanggi,2025-10-05,36.708333333333336,-6.2171,106.8115,IQAir,45.657627,44.90473583728637,44.112193432145176
257,Semanggi,2025-10-05,36.708333333333336,-6.2171,106.8115,IQAir,45.657627,44.90473583728637,44.112193432145176
258,Semanggi,2025-10-05,36.708333333333336,-6.2171,106.8115,IQAir,45.533848,44.798624634721925,42.41964730978413
259,Semanggi,2025-10-05,36.708333333333336,-6.2171,106.8115,IQAir,45.533848,44.798624634721925,42.41964730978413
262,Simprug THL Area,2025-10-05,43.125,-6.2279,106.7936,IQAir,50.408955,49.6272569643661,47.94909354557792
263,Simprug THL Area,2025-10-05,43.125,-6.2279,106.7936,IQAir,50.408955,49.6272569643661,47.94909354557792
264,Simprug THL Area,2025-10-05,43.125,-6.2279,106.7936,IQAir,50.105877,49.26840966067231,47.9788901553616
265,Simprug THL Area,2025-10-05,43.125,-6.2279,106.7936,IQAir,50.105877,49.26840966067231,47.9788901553616
274,Taman Patra,2025-10-05,48.47826086956522,-6.2362,106.8326,IQAir,38.962643,38.96136057930667,38.96260815563125
275,Taman Resort Mediterania,2025-10-05,49.529999999999994,-6.12,106.767,IQAir,51.672756,51.05613088325379,50.57033395981048
276,Taman Resort Mediterania,2025-10-05,49.529999999999994,-6.12,106.767,IQAir,51.77695,51.06883033490736,50.09267142781535
278,Tatalogam Tower,2025-10-05,52.916666666666664,-6.1891,106.7712,IQAir,54.267467,52.11117440651243,51.28511288762243
279,Tatalogam Tower,2025-10-05,52.916666666666664,-6.1891,106.7712,IQAir,54.201714,51.84966912596911,52.115877976194426
282,The RBS - AirVisual Outdoor,2025-10-05,51.04347826086956,-6.2291,106.8024,IQAir,51.342445,50.68063870545008,51.16884768837482
